samples,C,obstacles,planner,median_duration,p95_duration,mean_duration
2500,1.0,20,FMTx,5.920462030533535,7.776232542806261,6.021699756479482
2500,1.0,20,RRTx,11.27394937695178,14.763907224649824,11.429614707724053
2500,1.0,30,FMTx,8.274307596741664,10.875344774576824,8.406826029558495
2500,1.0,30,RRTx,18.635171495340582,24.703220943113664,19.135412387589138
2500,1.0,10,FMTx,2.894183172799587,3.871091994649465,2.9430354777757626
2500,1.0,10,RRTx,3.689345265265259,4.989195765795455,3.7064906151154124
2500,1.5,20,FMTx,14.019279141716488,17.73416583292871,14.304389186488796
2500,1.5,20,RRTx,35.25621100863362,41.513655446494305,35.133747280506604
2500,1.5,10,FMTx,6.794340979881872,8.61467445984673,6.895343390388876
2500,1.5,10,RRTx,9.275134022495521,12.111231257485032,9.259526624785833
2500,1.5,30,FMTx,18.933461647494617,24.436634198809426,19.35942501539088
2500,1.5,30,RRTx,50.32150352322267,63.92505036520323,51.443391769366436
2500,2.0,30,FMTx,36.93958103792418,44.92150419790102,37.58509963960285
2500,2.0,30,RRTx,121.2050767254038,145.79175849602322,122.98355872472388
2500,2.0,20,FMTx,32.729867505617946,39.05561813955441,33.0918445333293
2500,2.0,20,RRTx,76.18411927363232,90.33344307184986,76.57251332892805
2500,2.0,10,FMTx,14.9240818818819,18.049113332288822,15.083287970942967
2500,2.0,10,RRTx,22.00668743764006,30.686502199129517,22.542623935545343
5000,1.5,20,FMTx,27.65877707006366,34.09277840334257,28.138016784811306
5000,1.5,20,RRTx,63.994210017574616,78.3277509210124,63.75217702278957
5000,1.5,30,FMTx,36.649230590293826,44.371723425796795,36.97016762499858
5000,1.5,30,RRTx,109.74574033967885,131.69737328986702,108.94699179592324
5000,1.5,10,FMTx,12.441442971714249,15.481157267084988,12.587905387129034
5000,1.5,10,RRTx,16.50334903485845,21.201648344959494,16.589809464433543
5000,2.0,30,FMTx,75.37682693908229,88.04784000698965,76.2215607512956
5000,2.0,30,RRTx,221.04587247961285,257.9907828778429,222.8305324542486
5000,2.0,20,FMTx,61.171798300469526,71.23812353438312,61.53765870666599
5000,2.0,20,RRTx,134.41545387453868,160.29752473262903,134.32437666236493
5000,2.0,10,FMTx,29.490031970288037,35.74472296532913,29.665705671618408
5000,2.0,10,RRTx,40.63250614177588,52.960655345302236,41.05740377549213
5000,1.0,30,FMTx,16.8087970970971,22.413632217217216,17.049599390280434
5000,1.0,30,RRTx,39.14793045384836,48.69501471342545,39.83715302949151
5000,1.0,20,FMTx,11.97386309579387,15.973432272272063,12.13920195419908
5000,1.0,20,RRTx,23.82415650760305,30.142921195187125,24.122398333356536
5000,1.0,10,FMTx,5.385876086710734,7.1847483400482055,5.454396726647238
5000,1.0,10,RRTx,7.046877118840379,9.408273188118827,7.1152947345933795
20000,2.0,30,FMTx,266.6446837253838,298.3360543352021,265.734639052627
20000,2.0,30,RRTx,1079.5238977716024,1241.1211590720914,1073.4483491422886
20000,2.0,10,FMTx,98.98991145543835,117.60289498407926,99.77497986999118
20000,2.0,10,RRTx,160.12361941747508,210.50219125404095,161.06317979284404
20000,2.0,20,FMTx,206.55944233419186,228.21977010916353,206.25739418904718
20000,2.0,20,RRTx,668.29951055429,801.7438756666778,663.2476725957197
20000,1.0,30,FMTx,74.9786843430686,91.86992500036746,74.13463336741758
20000,1.0,30,RRTx,179.32791454233575,205.70806791187334,179.6919917936821
20000,1.0,20,FMTx,56.67589030836999,71.99491781391303,56.13596248343597
20000,1.0,20,RRTx,126.99411356466867,147.47044800365188,126.29144490999045
20000,1.0,10,FMTx,22.347020675845865,31.05348129446319,22.73221301992623
20000,1.0,10,RRTx,34.5709798808984,44.73367198671854,34.5357103135229
20000,1.5,10,FMTx,47.242862023365525,59.2141934993862,47.6471511700202
20000,1.5,10,RRTx,78.08901932511728,96.57396723542703,77.49255623117271
20000,1.5,20,FMTx,104.03832955953101,120.86625008325002,103.33783011371072
20000,1.5,20,RRTx,259.002621398544,299.5935152783572,257.2367880278293
20000,1.5,30,FMTx,135.7329672799022,154.6921650714075,134.50653136791055
20000,1.5,30,RRTx,485.23361082560587,552.8998539123289,483.80701040811635
10000,1.5,10,FMTx,24.039572399278413,30.41883883648932,24.35260071875344
10000,1.5,10,RRTx,34.137534166666754,43.03515998856491,34.06368024383313
10000,1.5,30,FMTx,68.95594346421083,80.82691217956537,68.8253894405743
10000,1.5,30,RRTx,208.4330797598967,245.4412254856697,208.9838565923256
10000,1.5,20,FMTx,52.85859265367316,63.57998256865874,53.20327562979825
10000,1.5,20,RRTx,115.98985593822984,135.77949511381706,115.8881652757969
10000,1.0,10,FMTx,10.73929108800414,14.023642009980827,10.793411141212943
10000,1.0,10,RRTx,14.65120945252353,19.103690100100316,14.743040300217642
10000,1.0,30,FMTx,34.50270444921084,43.79009941775969,34.421043743523846
10000,1.0,30,RRTx,82.92356581329504,102.7755473048956,84.2569029383326
10000,1.0,20,FMTx,25.183448371542397,32.97831178152136,25.465617748484263
10000,1.0,20,RRTx,54.56772322097369,65.65273562231148,54.704512334978766
10000,2.0,30,FMTx,141.36893286671022,161.41682338572087,141.85187109843713
10000,2.0,30,RRTx,450.78220262811226,522.5494526790205,452.2105154990975
10000,2.0,10,FMTx,55.48528187457983,65.49755691986319,55.718076166855596
10000,2.0,10,RRTx,81.47873851851845,98.74296333542753,81.23464106373906
10000,2.0,20,FMTx,109.65183090909089,126.12661659806702,110.46344226095754
10000,2.0,20,RRTx,282.4611092265127,322.2171757314917,281.57133315788724
